,0
0,3545.2965408190557
1,5.603705392258209
2,74.64557863326529
3,-687.0924807531352
4,1564.611618029454
5,1740.636001620006
6,2138.2394941482175
7,1597.283250085989
8,2321.4773634566013
9,3205.952127082613
10,2829.845782866196
11,2203.1325462731847
12,6129.613750001134
13,9654.232935308812
14,2189.7039983611003
15,972.6289478014955
16,-5250.7690628520895
17,-157.53267263913617
18,134.78917316680725
19,-1063.958055800845
20,-2573.4175145336735
21,-1726.1700060828011
22,-1288.0045115211983
23,-1440.8178647224765
24,5638.112603029329
25,-1831.0691144596876
26,-588.796020152937
27,-1689.4869125603318
28,-60.36219719409885
29,-890.9686948494863
30,-1328.5104842804606
31,-97.37931696200741
32,-906.825793463986
33,-719.1225689190102
34,-499.7845059494815
35,-281.24395205305933
36,-2172.4562630399832
37,-1323.8518185834482
38,1050.1582796726195
39,-1888.9170110644618
40,-584.5904128906967
41,-2664.4253083746053
42,-1699.4083813289271
43,-3735.3836272025446
44,-1024.631204753586
45,-646.2894139438544
46,-333.05317360968536
47,-351.88324737528546
48,-2901.982007370168
