ID_PERSONA,ENT,SEXO,EDAD,NIVACAD,ALFABET,INGTRMEN,HORTRA,CONACT,SITTRA,ENT_PAIS_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA
14024000107300001,14,1,34,4,1,5590,6,10,1,14,2,4,6,8,2,4,6
16014000010100005,16,1,17,2,1,4300,30,10,2,16,2,4,6,8,2,4,6
2002000016600003,2,1,34,3,1,12900,48,10,1,2,1,3,5,7,1,3,5
21148000171700002,21,1,25,2,1,3440,36,10,2,21,2,4,6,8,2,4,6
17013000020200001,17,1,25,4,1,6450,60,10,2,17,2,4,6,8,2,4,6
21061000299000003,21,1,38,2,1,2150,60,10,3,21,2,4,6,8,2,4,6
9005000201700002,9,3,35,4,1,6450,125,10,1,9,1,4,6,8,2,4,6
13028000163800004,13,1,42,5,1,6450,48,10,3,13,2,4,6,8,2,4,6
26055000084000003,26,1,51,11,1,15050,40,10,1,26,1,3,5,7,1,3,5
21090000148600006,21,1,33,4,1,6450,60,10,1,21,2,4,6,8,2,4,6
15064000015600004,15,3,33,11,1,10750,56,10,1,15,1,4,6,8,2,4,6
28008000052100004,28,1,18,4,1,2580,40,10,1,28,2,4,6,8,2,4,6
4002000451900003,4,1,78,2,1,4300,140,10,1,4,1,3,5,8,1,4,6
13015000149900003,13,1,36,3,1,3870,40,10,1,13,2,4,6,8,2,4,6
19044000120400001,19,1,65,2,1,5160,45,10,1,19,2,4,6,8,2,4,6
20525000137400005,20,3,29,3,1,2580,24,10,1,20,2,4,6,8,2,4,6
8037000194600001,8,1,38,11,1,8000,28,10,3,8,1,4,5,8,2,4,6
5010000063100002,5,3,37,11,1,15050,8,10,1,5,1,3,5,7,1,3,5
19047000080900004,19,1,20,4,1,7310,40,10,1,19,1,3,5,7,1,3,5
11028000071400001,11,1,32,2,1,4300,40,10,2,11,2,4,6,8,2,4,6
15099000188100006,15,1,28,11,1,0,60,10,1,9,1,4,6,8,2,4,6
15026000196500002,15,1,43,3,1,4300,56,10,2,15,2,4,6,8,2,4,6
30172000022300002,30,1,40,2,1,4730,42,10,1,30,2,4,6,8,2,4,6
31093000012900001,31,3,46,3,1,430,25,10,1,31,2,4,6,8,2,4,6
