Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),6017.727124738367,2824.8145602334657,2.13030873228047,0.03368790381578038,466.2612572968592,11569.192992179875
SEXO: 3,-1084.5784608221827,462.1204807215765,-2.3469603838563295,0.019359905912477885,-1992.7605806281158,-176.39634101624972
EDAD,37.48563026637342,16.76156179719381,2.236404382833179,0.02581457785351,4.544976563978722,70.42628396876812
NIVACAD: 1,-1504.2421683969271,4681.216624159392,-0.3213357315347577,0.7481051747556312,-10704.001569584947,7695.517232791092
NIVACAD: 2,-151.58128736549412,1287.5229159730807,-0.11773094325931466,0.9063333777471871,-2681.8852663221087,2378.7226915911206
NIVACAD: 3,266.0307113807707,1299.2049531159666,0.20476423734587232,0.8378489121854431,-2287.2313871543392,2819.2928099158808
NIVACAD: 4,978.5802352834944,1345.752599181862,0.7271620622381955,0.46750480480460443,-1666.1596090768885,3623.3200796438773
NIVACAD: 5,-589.2184015379063,2010.4416226316503,-0.29307909013872513,0.7695968002360744,-4540.238126386995,3361.8013233111824
NIVACAD: 6,3161.554793059479,4909.583858040498,0.6439557576517925,0.5199321906215124,-6487.003237950179,12810.112824069136
NIVACAD: 7,940.8210712776563,2147.995900319625,0.4379994725025596,0.6615968307342677,-3280.5271516807916,5162.169294236104
NIVACAD: 8,574.319324887324,2198.004804400023,0.2612912054321431,0.7939874905292553,-3745.308880048964,4893.947529823612
NIVACAD: 10,1998.6680297780913,2333.303913684623,0.8565828129186596,0.39213139464150304,-2586.8567043188987,6584.192763875081
NIVACAD: 11,5631.633686854969,1367.3398720020705,4.118678758785176,4.5351141093192244e-5,2944.4694618220965,8318.797911887841
NIVACAD: 12,34430.76174040853,4596.4009412767045,7.4908090439223045,3.6523780341228725e-13,25397.68633157011,43463.83714924696
NIVACAD: 13,6102.53192491341,1858.1505990279597,3.2841966243779064,0.0011025552286221174,2450.8020831438475,9754.261766682972
NIVACAD: 14,14605.894925001341,4605.289614121364,3.171547535298272,0.0016199681723732197,5555.351054834999,23656.438795167684
HORTRA,72.1827390321483,12.004057601896541,6.013194990062696,3.76646021649704e-9,48.59176885454389,95.77370920975272
ENT_PAIS_TRAB: 2,-3379.799400072841,3401.2277491941404,-0.993699819388344,0.32090304945887327,-10064.061093868992,3304.4622937233103
ENT_PAIS_TRAB: 3,-2350.8968439304813,4941.500443105611,-0.4757455495547827,0.6344865302979947,-12062.178933038884,7360.385245177922
ENT_PAIS_TRAB: 4,-3472.714091302757,2795.437776610302,-1.242279159407264,0.21478058169288414,-8966.447244577806,2021.0190619722925
